,id,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
1055,1116477,dukou52,1,dukou,0,68.0,14.0,0.0,,2.0,,1,1,40.0,1,1.0,1,1.0,1.0,0.0,1.0,0.0,0.8,7.0,0.6,0.0,0.0,,
1056,1116480,dukou52,1,dukou,0,61.0,8.0,0.0,40.0,5.0,20.0,1,0,30.0,0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
1057,1116482,dukou52,1,dukou,1,68.0,4.0,1.0,70.0,4.0,30.0,1,0,20.0,1,1.0,1,1.0,0.0,1.0,0.0,0.0,0.6,7.0,0.19999999,1.0,0.0,,1.0
1058,1116483,dukou52,1,dukou,0,56.0,5.0,0.0,20.0,3.0,20.0,0,0,30.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.8,5.0,1.0,0.0,0.0,0.0,1.0
1059,1116484,dukou52,1,dukou,1,60.0,6.0,0.0,100.0,,50.0,1,0,20.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,0.2,7.0,0.0,0.0,0.0,,1.0
1060,1116486,dukou52,1,dukou,0,67.0,2.0,0.0,100.0,1.5,,0,0,50.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,,0.0
1061,1116487,dukou52,1,dukou,1,54.0,4.0,0.0,100.0,18.0,60.0,1,0,40.0,0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.2,7.0,0.0,0.0,0.0,,1.0
1062,1116492,dukou52,1,dukou,0,46.0,1.0,1.0,70.0,15.0,,0,0,50.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,,5.0,0.4,1.0,0.0,,
1063,1116496,dukou52,1,dukou,0,71.0,7.0,1.0,,6.0,,1,1,36.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.2,5.0,0.0,1.0,0.0,0.0,0.0
1064,1116498,dukou52,1,dukou,0,40.0,2.0,3.0,70.0,3.0,,0,0,20.0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.4,7.0,0.0,1.0,1.0,,0.0
